city,ds,bookings
City_1,08/11/2013,72
City_1,09/11/2013,60
City_1,10/11/2013,70
City_1,11/11/2013,97
City_1,12/11/2013,73
City_1,13/11/2013,61
City_1,14/11/2013,66
City_1,15/11/2013,73
City_1,16/11/2013,51
City_1,17/11/2013,76
City_1,18/11/2013,52
City_1,19/11/2013,90
City_1,20/11/2013,78
City_1,21/11/2013,78
City_1,22/11/2013,65
City_1,23/11/2013,39
City_1,24/11/2013,65
City_1,25/11/2013,76
City_1,26/11/2013,72
City_1,27/11/2013,75
City_1,28/11/2013,61
City_1,29/11/2013,68
City_1,30/11/2013,42
City_1,01/12/2013,77
City_1,02/12/2013,71
City_1,03/12/2013,74
City_1,04/12/2013,82
City_1,05/12/2013,76
City_1,06/12/2013,69
City_1,07/12/2013,53
City_1,08/12/2013,80
City_1,09/12/2013,58
City_1,10/12/2013,95
City_1,11/12/2013,76
City_1,12/12/2013,62
City_1,13/12/2013,75
City_1,14/12/2013,44
City_1,15/12/2013,51
City_1,16/12/2013,71
City_1,17/12/2013,63
City_1,18/12/2013,59
City_1,19/12/2013,65
City_1,20/12/2013,44
City_1,21/12/2013,55
City_1,22/12/2013,62
City_1,23/12/2013,57
City_1,24/12/2013,46
City_1,25/12/2013,50
City_1,26/12/2013,52
City_1,27/12/2013,55
City_1,28/12/2013,63
City_1,29/12/2013,55
City_1,30/12/2013,66
City_1,30/12/2013,65
